Meso Cycle 1,,,,,,,,
Day 1- Leg Strength (10/5),,,,,,,,
A1,BB Back Squat,185,3,3,3,3,,3min
B1,Deadlift,275,3,3,3,3,,3min
C1,Leg Press,4-45's/side,3,3,3,3,,3min
Day 2- Push Strength (10/8),,,,,,,,
A1,BB Bench  ,165,3,3,3,3,,3min
B1,BB Incline Bench,115,3,3,3,3,,3min
C1,BB Overhead Press,75,3,3,3,3,,3min
Day 3- Pull Strength (10/9),,,,,,,,
A1,Bent Over BB Row,175,3,3,3,3,,3min
B1,Pull Ups,10,3,3,3,3,,3min
C1,Hex Bar Shrug,230,3,3,3,3,,3min
D1,BB Curl,70,3,3,3,3,,3min
Day 4- Cardio/Abs,,,,,,,,
Day 5- Leg Hypertrophy (10/12),,,,,,,,
A1,BB Back Squat,135,10,10,10,10,,60-120s
B1,DB Walking Lunges,20,10,10,10,10,,60-120s
C1,Back Extension,60,10,10,10,10,,60-120s
D1,Leg Press,2-45's/side,10,10,10,10,,60-120s
E1,Calf Press,3-45's/side,10,10,10,10,,60-120s
Day 6- Push Hypertrophy (10/15),,,,,,,,
A1,DB Bench ,35,10,10,10,10,,60-120s
B1,BB Incline Bench,95,10,10,10,10,,60-120s
C1,Seated DB Shoulder Press,25,10,10,10,10,,60-120s
D1,Lateral Raise,12,10,10,10,10,,60-120s
E1,EZ Bar Skull Crushers,45,10,10,10,10,,60-120s
F1,Tricep Pressdown ,25,10,10,10,10,,60-120s
Day 7- Pull Hypertrophy (10/16),,,,,,,,
A1,Assisted Pull Up,45,10,10,10,10,,60-120s
B1,Seated Row,70,10,10,10,10,,60-120s
C1,NG Pull Down,50,10,10,10,10,,60-120s
D1,SA Bent Over Row,40,10,10,10,10,,60-120s
E1,DB Bicep Curl,15,10,10,10,10,,60-120s
F1,Straight Bar Cable Curl,20,10,10,10,10,,60-120s
Day 8- Cardio/Rest,,,,,,,,
Meso Cycle 2,,,,,,,,
Day 9- Leg Strength (10/19),,,,,,,,
A1,BB Back Squat,205,4,4,4,4,4,3min
B1,Deadlift,275,4,4,4,4,4,3min
C1,Leg Press,5-45s/side,4,4,4,4,4,3min
D1,Romanian Deadlift,95,4,4,4,4,4,3min
Day 10- Push Strength (10/23),,,,,,,,
A1,BB Bench ,165,4,4,4,4,4,3min
B1,BB Incline Bench,115,4,4,4,4,4,3min
C1,BB Overhead Press,75,4,4,4,4,4,3min
Day 11- Pull Strength (10/26),,,,,,,,
A1,Bent Over BB Row,185,4,4,4,4,4,3min
B1,Pull Ups,15,4,4,4,4,4,3min
C1,Hex Bar Shrug,300,4,4,4,4,4,3min
D1,EZ Bar Curl,70,4,4,4,4,4,3min
Day 12- Cardio/Rest,,,,,,,,
Day 13- Leg Hypertrophy (10/29),,,,,,,,
A1,BB Back Squat,135,10,10,10,10,,60-120s
B1,Step Ups,15,10,10,10,10,,0
B2,SB Leg Curl,BW,10,10,10,10,,0
C1,Leg Press,2-45's/side,10,10,10,10,,0
C2,Calf Press,3-45's/side,10,10,10,10,,0
C3,Walking Lunges,BW,10,10,10,10,,60-120s
Day 14- Push Hypertrophy (10/30),,,,,,,,
A1,DB Bench ,45,10,10,10,Drop Set,"(50,40,30)",60-120s
B1,BB Incline Bench,75,10,10,10,Drop Set,"(70,65,45)",60-120s
C1,Seated DB Shoulder Press,20,10,10,10,10,,60-120s
D1,Lateral Raise,12.5,10,10,10,Drop Set,,60-120s
E1,EZ Bar Skull Crushers,45,10,10,10,10,,Stretch
F1,Tricep Pressdown ,25,10,10,10,10,,60-120s
Day 15- Pull Hypertrophy (11/2),,,,,,,,
A1,Assisted Pull Up,45,10,10,10,10,,60-120s
B1,Seated Row,65,10,10,10,10,,60-120s
C1,NG Pull Down,42.5,10,10,10,10,,60-120s
D1,SA Bent Over Row,35,10,10,10,10,,60-120s
E1,DB Bicep Curl,20,10,10,10,10,,60-120s
F1,Straight Bar Cable Curl,15,10,10,10,10,,60-120s
Day 16- Cardio/Rest,,,,,,,,
Meso Cycle 3,,,,,,,,
Day 17- Leg Strength (11/5),,,,,,,,
A1,BB Back Squat,205,5,5,5,5,,3min
B1,Deadlift,295,5,5,5,5,,3min
C1,Leg Press,4-45's/side,5,5,5,5,,3min
Day 18- Push Strength (11/16),,,,,,,,
A1,BB Bench ,155,5,5,5,5,,3min
B1,DB Incline Bench,50,5,5,5,5,,3min
C1,BB Overhead Press,75,5,5,5,5,,3min
Day 19- Pull Strength (11/17),,,,,,,,
A1,Bent Over BB Row,185,5,5,5,5,,3min
B1,Pull Ups,BW,5,5,5,5,,3min
C1,Hex Bar Shrug,300,5,5,5,5,,3min
D1,EZ Bar Curl,80,5,5,5,5,,3min
Day 20- Cardio/Abs,,,,,,,,
Day 21- Leg Hypertrophy (11/19),,,,,,,,
A1,BB Back Squat,135,12,12,12,12,,60-120s
B1,BB Walking Lunges,20,12,12,12,12,,60-120s
C1,Back Extension,BW,12,12,12,12,,60-120s
E1,Calf Press,2-45's/side,30,15,15,15,,60-120s
Day 22- Push Hypertrophy (11/20),,,,,,,,
A1,DB Bench ,45,12,12,12,12,,60-120s
B1,BB Incline Bench,75,12,12,12,12,,60-120s
C1,NG DB Bench Press,30,12,12,12,12,,60-120s
D1,Cable Lateral Raise,5,12,12,12,12,,60-120s
E1,EZ Bar Skull Crushers,45,12,12,12,,,0
E2,Tricep Pressdown ,20,12,12,12,,,60-120s
Day 23- Pull Hypertrophy (11/23),,,,,,,,
A1,Assisted Pull Up,40,12,12,12,to failure,,60-120s
B1,Seated Row,65,12,12,12,12,,60-120s
C1,NG Pull Down,42.5,12,12,12,Drop Set,"(45.2,35,27.5)",60-120s
D1,SA Bent Over Row,30,12,12,12,12,,60-120s
E1,DB Bicep Curl,15,12,12,12,12,,60-120s
F1,Straight Bar Cable Curl,10,30,15,15,15,,60-120s
Day 24- Cardio/Rest,,,,,,,,
Meso Cycle 4,,,,,,,,
Day 25- Leg Strength (11/25),,,,,,,,
A1,BB Back Squat,215,3,3,,,,3min
B1,Deadlift,275,3,3,,,,3min
C1,Leg Press,,3,3,,,,3min
D1,Romanian Deadlift,,3,3,,,,3min
Day 26- Push Strength (11/30),,,,,,,,
A1,BB Bench ,185,3,3,,,,3min
B1,BB Incline Bench,,3,3,,,,3min
C1,BB Overhead Press,95,3,3,,,,3min
Day 27- Pull Strength (11/30),,,,,,,,
A1,Bent Over BB Row,205,3,3,,,,3min
B1,Pull Ups,25,3,3,,,,3min
C1,Hex Bar Shrug,320,3,3,,,,3min
D1,BB Curl,80,3,3,,,,3min
Day 28- Cardio/Abs,,,,,,,,
Day 29- Leg Hypertrophy (12/1),,,,,,,,
A1,BB Back Squat,155,8,8,,,,60-120s
B1,DB Walking Lunges,20,8,8,,,,60-120s
C1,Back Extension,60,8,8,,,,60-120s
D1,Leg Press,4-45s/side,8,8,,,,0
D2,Single Leg SB Ham Curls,BW,8,8,,,,60-120s
Day 30- Push Hypertrophy (12/3),,,,,,,,
A1,DB Bench ,50,8,8,,,,60-120s
B1,BB Incline Bench,95,8,8,,,,60-120s
C1,NG DB Bench Press,50,8,8,,,,60-120s
D1,Tricep Pressdown ,42.5,8,8,,,,60-120s
Day 31- Pull Hypertrophy (12/4),,,,,,,,
A1,Pull Up,BW,8,8,,,,60-120s
B1,Seated Row,80,8,8,,,,60-120s
C1,NG Pull Down,65,8,8,,,,60-120s
D1,SA Bent Over Row,40,8,8,,,,60-120s
E1,DB Bicep Curl,25,8,8,,,,60-120s
Day 32- Cardio/Rest,,,,,,,,
Meso Cycle 1,,,,,,,,
Day 33- Leg Strength (12/6),,,,,,,,
A1,BB Wide Stance Back Squat,185,3,3,3,3,,3min,
B1,Sumo Deadlift,275,3,3,3,3,,3min,
C1,Leg Press,4-45's/side,3,3,3,3,,3min,
D1,Romanian Deadlift,95,3,3,3,3,,3min,
Day 34- Push Strength (12/10),,,,,,,,
A1,BB Bench ,175,3,3,3,3,,3min,
B1,DB Decline Bench,105,3,3,3,3,,3min,
C1,BB Push Press,60,3,3,3,3,,3min,
D1,Weighted Dips,25,3,3,3,3,,3min,
Day 35- Pull Strength (12/11),,,,,,,,
A1,Bent Over BB Row,185,3,3,3,3,,3min,
B1,Landmine Row,4-45's/side,3,3,3,3,,3min,
C1,BB Upright Row,60,5,5,5,5,3min,
D1,EZ Bar Curl,80,5,5,5,5,3min,
Day 36- Cardio/Abs,,,,,,,,
Day 37- Leg Hypertrophy (12/14),,,,,,,,
A1,BB Front Squat,135,8,8,8,8,,0,
A2,Walking Lunges,20,8,8,8,8,,60-120s,
B1,DB Romanian Deadlift,30,8,8,8,8,,0,
B2,SL Leg Press,70/side,8,8,8,8,,60-120s,
C1,SB Leg Curl,BW,8,8,8,8,,60-120s,
D1,BB Standing Calf Raise,40,8,8,8,Drop set,60-120s,
Day 38- Push Hypertrophy (12/15),,,,,,,,
A1,BB Incline Bench ,105,8,8,8,8,,60-120s,
B1,Machine Chest Press,25,8,8,8,8,,60-120s,
C1,Seated DB Shoulder Press,30,8,8,8,8,,60-120s,
D1,Seated Incline DB Front Raise,10,8,8,8,8,,60-120s,
E1,EZ Bar Skull Crushers,45,8,8,8,8,,60-120s,
F1,Tricep Kickback,10,8,8,8,8,,,
G1,Body Weight Dip,BW,8,8,8,8,,60-120s,
Day 39- Pull Hypertrophy (1/6),,,,,,,,
A1,NG Pull Up,10,8,8,8,8,,60-120s,
B1,Chest Supported Row,40,8,8,8,8,,60-120s,
C1,Supine Grip Pull Down,65,8,8,8,8,,60-120s,
D1,Bilateral Bent Over Row,35,8,8,8,8,,60-120s,
E1,EZ Bar Curl,60,8,8,8,8,,60-120s,
Day 40- Cardio/Rest,,,,,,,,
Meso Cycle 2,,,,,,,,
Day 41- Leg Strength (1/7),,,,,,,,
A1,BB Back Squat,205,4,4,4,4,4,3min
B1,Sumo Deadlift,275,4,4,4,4,4,3min
C1,Leg Press,4-45's/side,4,4,4,4,4,3min
Day 42- Push Strength (1/8),,,,,,,,
A1,BB Bench ,165,4,4,4,4,4,3min
B1,DB Decline Bench,60,4,4,4,4,4,3min
C1,BB Push Press,105,4,4,4,4,4,3min
D1,Weighted Dips,25,4,4,4,4,4,3min
Day 43- Pull Strength (1/21),,,,,,,,
A1,Bent Over BB Row,185,4,4,4,4,4,3min
B1,Landmine Row,4-45's/side,4,4,4,4,4,3min
C1,Bent Arm Delt Raise,15,5,5,5,5,5,3min
D1,EZ Bar Curl,70,5,5,5,5,5,3min
Day 44- Cardio/Rest,,,,,,,,
Day 45- Leg Hypertrophy (1/22),,,,,,,,
A1,Step Ups,25,10,10,10,10,10,60-120s
A2,SL SB Leg Curl,BW,10,10,10,10,10,60-120s
B1,RDL,95,10,10,10,10,10,60-120s
C1,Standing Calf Raise,80,10,10,10,10,10,60-120s
Day 46- Push Hypertrophy (1/25),,,,,,,,
A1,Incline DB Bench ,55,10,10,10,10,10,60-120s
B1,Machine Chest Press,25/side,10,10,10,10,10,60-120s
C1,Seated DB Shoulder Press,25,10,10,10,10,10,60-120s
D1,DB Front Raises,12.5,10,10,10,10,10,60-120s
Day 47- Pull Hypertrophy (1/28),,,,,,,,
A1,NG Pull Up,BW,10,10,10,10,,60-120s
B1,Chest Supported Row,60/side,10,10,10,10,10,60-120s
C1,Supine Grip Pull Down,50,10,10,10,10,10,60-120s
C2,Bilateral Bent Over Row (plates),25,10,10,10,10,10,60-120s
D1,Overhead Tricep Ext.,40,10,10,10,,,60-120s
E1,SA High Cable Curl,15,10,10,10,,,60-120s
Day 48- Cardio/Rest,,,,,,,,
Meso Cycle 2,,,,,,,,
Day 49- Leg Strength (1/29),,,,,,,,
A1,BB Back Squat,205,5,5,5,5,,3min
B1,Sumo Deadlift,275,5,5,5,5,,3min
C1,Leg Press,4-45's/side,5,5,5,5,,3min
Day 50- Push Strength (2/1),,,,,,,,
A1,BB Bench ,165,5,5,5,5,,3min
B1,Weighted Dips,25,5,5,5,5,,3min
C1,BB Push Press,95,5,5,5,5,,3min
Day 51- Pull Strength (2/4),,,,,,,,
A1,Bent Over BB Row,175,5,5,5,5,,3min
B1,Landmine Row,4-45's/side,5,5,5,5,,3min
C1,Bent Arm Delt Raise,25,5,5,5,5,,3min
Day 52- Cardio/Rest,,,,,,,,
Day 53- Leg Hypertrophy (2/8),,,,,,,,
A1,BB Front Squat,95,12,12,12,12,12,0
A2,Walking Lunges,15,12,12,12,12,12,60-120s
B1,RDL,95,12,12,12,12,12,60-120s
C1,Step Ups,20,12,12,12,12,12,0
C2,Leg Curl,BW,12,12,12,12,12,60-120s
Day 54- Push Hypertrophy (2/11),,,,,,,,
A1,Incline DB Bench ,55,12,12,12,12,12,60-120s
B1,Machine Chest Press,25/side,12,12,12,12,12,0
B2,Flat Bench Chest Fly,25,12,12,12,12,12,60-120s
C1,Seated DB Shoulder Press,20,12,12,12,12,12,60-120s
D1,Seated DB Front Raise,12.5,12,12,12,12,12,0
D2,Bent Over Reverse Fly,12.5,12,12,12,12,12,60-120s
E1,EZ Bar Skull Crusher,45,12,12,12,12,12,60-120s
F1,Tricep Kickback,10,12,12,12,12,12,60-120s
G1,Tricep Press Down (V Bar),25,12,12,12,12,12,60-120s
Day 55- Pull Hypertrophy (2/18),,,,,,,,
A1,NG Pull Up,BW,12,12,12,12,12,60-120s
B1,Chest Supported Row,60/side,12,12,12,12,12,60-120s
C1,Supine Grip Pull Down,50,12,12,12,12,12,60-120s
D1,Bilateral Bent Over Row (plates),25,12,12,12,12,12,60-120s
F1,Alt. DB Curl,15,12,12,12,12,12,60-120s
E1,SA High Cable Curl,10,12,12,12,12,12,60-120s
Day 56- Cardio/Rest,,,,,,,,
Meso Cycle 3,,,,,,,,
Day 57- Leg Strength (2/19),,,,,,,,
A1,BB Back Squat,245,3,3,,,,3min
B1,Sumo Deadlift,345,3,3,,,,3min
C1,Leg Press,5-45's/side,3,3,,,,3min
Day 58- Push Strength (2/22),,,,,,,,
A1,BB Bench ,195,3,3,,,,3min
B1,BB Push Press,125,3,3,,,,3min
C1,Weighted Dips,45,3,3,,,,3min
Day 59- Pull Strength (2/25),,,,,,,,
A1,Bent Over BB Row,205,3,3,,,,3min
B1,Landmine Row,195,3,3,,,,3min
C1,Bent Arm Delt Raise,20,3,3,,,,3min
D1,EZ Bar Curl,80,3,3,,,,3min
Day 60- Cardio/Rest,,,,,,,,
Day 61- Leg Hypertrophy (2/26),,,,,,,,
A1,BB Front Squat,135,8,8,,,,60-120s
B1,Walking Lunges,25,8,8,,,,60-120s
C1,SA RDL,30,8,8,,,,60-120s
D1,SL SB Leg Curl,BW,8,8,,,,60-120s
Day 62- Push Hypertrophy (3/1),,,,,,,,
A1,Incline DB Bench ,60,8,8,,,,60-120s
B1,Machine Chest Press,35/side,8,8,,,,60-120s
C1,Seated DB Shoulder Press,35,8,8,,,,60-120s
D1,Incline DB  Front Raise,15,8,8,,,,60-120s
E1,EZ Bar Skull Crusher,55,8,8,,,,60-120s
F1,Tricep Kickback,12,8,8,,,,60-120s
Day 63- Pull Hypertrophy (3/3),,,,,,,,
A1,NG Pull Up,10,8,8,,,,60-120s
B1,Chest Supported Row,80,8,8,,,,60-120s
C1,Supine Grip Pull Down,65,8,8,,,,60-120s
D1,Bilateral Bent Over Row (plates),45,8,8,,,,60-120s
E1,BB Bent Over Row ,135,8,8,,,,60-120s
F1,Alt. DB Curl,25,8,8,,,,60-120s
G1,SA High Cable Curl,20,8,8,,,,60-120s
Day 64- Cardio/Rest,,,,,,,,
Meso Cycle 1,,,,,,,,
Day 65- Leg Strength (3/7),,,,,,,,
A1,Back Squat,245,3,3,3,3,,3min
B1,Deadlift,295,3,3,3,3,,3min
C1,Leg Press,5-45's/sides,3,3,3,3,,3min
Day 66- Push Strength (3/10),,,,,,,,
A1,BB Bench ,185,3,3,3,3,,3min
B1,DB Incline Bench,75,3,3,3,3,,3min
C1,BB OHP,95,3,3,3,3,,3min
Day 67- Pull Strength (3/10),,,,,,,,
A1,Bent Over BB Row,185,3,3,3,3,,3min
B1,Pull Ups,25,3,3,3,3,,3min
C1,BB Curl,70,5,5,5,5,,3min
D1,Hex Bar Shrugs,280,5,5,5,5,,3min
Day 68- Cardio/Abs,,,,,,,,
Day 69- Leg Hypertrophy (3/21),,,,,,,,
A1,BB Back Squat,135,8,8,8,Drop Set,"(135,115,95)",0
A2,Step Ups,20,8,8,8,Drop Set,"(20,10,BW)",60-120s
B1,Back Hyperextensions,40,8,8,8,8,,0
B2,SB SL Leg Curls,BW,8,8,8,8,,60-120s
C1,Calf Press on Leg Press,2-45's/side,8,8,8,8,,Stretch
Day 70- Push Hypertrophy (3/18),,,,,,,,
A1,BB Bench,145,8,8,8,8,,60-120s
B1,DB Incline Bench,50,8,8,8,Drop Set,"(50,45,35)",60-120s
C1,Lateral Raises,15,8,8,8,8,,60-120s
D1,EZ Bar Skull Crushers,45,8,8,8,8,,60-120s
E1,Tricep Pressdown ,30,8,8,8,Drop Set,"(30,25,20)",60-120s
Day 71- Pull Hypertrophy (3/24),,,,,,,,
A1,Wide Grip Pull Ups,,8,8,8,failure,,60-120s
B1,Seated Row ,,8,8,8,Drop Set,,60-120s
C1,Wide Grip Lat Pulldown,,8,8,8,Drop Set,,60-120s
D1,SA DB Row,,8,8,8,Drop Set,,60-120s
E1,DB Bicep Curl,,8,8,8,Drop set,,60-120s
F1,Cable Curl,,8,8,8,drop set,,60-120s
Day 72- Cardio/Rest,,,,,,,,
Meso Cycle 2,,,,,,,,
Day 73- Leg Strength (4/15),,,,,,,,
A1,BB Back Squat,225,4,4,4,4,4,3min
B1,Deadlift,255,4,4,4,4,4,3min
C1,Leg Press,4-45's/side,4,4,4,4,4,3min
Day 74- Push Strength (4/12),,,,,,,,
A1,BB Bench ,165,4,4,4,4,4,3min
B1,Incline DB Press,45,4,4,4,4,4,3min
C1,BB OHP,70,4,4,4,4,4,3min
Day 75- Pull Strength (4/14),,,,,,,,
A1,Bent Over BB Row,175,4,4,4,4,4,3min
B1,Weighted Pull Ups,15,4,4,4,4,4,3min
C1,BB Curl,70,5,5,5,5,5,3min
D1,Hex Bar Shrug,290,5,5,5,5,5,3min
Day 76- Cardio/Rest,,,,,,,,
Day 77- Leg Hypertrophy (4/18),,,,,,,,
A1,BB Back Squat,85,30,15,15,15,,
A2,Leg Extensions,15,10,10,10,10,Drop Set,60-120s
B1,Back Hyperextensions,65,10,10,10,10,10,60-120s
C1,SB Leg Curls,BW,30,15,15,15,,60-120s
Day 78- Push Hypertrophy (4/21),,,,,,,,
A1,Incline DB Fly,12.5,30,15,15,15,,60-120s
B1,BB Incline Bench,85,10,10,10,10,10,60-120s
C1,Seated DB Shoulder Press,30,10,10,10,10,10,60-120s
D1,EZ bar Skullcrushers,25,30,15,15,15,1,60-120s
Day 79- Pull Hypertrophy (4/22),,,,,,,,
A1,Chin Ups,BW5/Neg5,10,10,10,10,10,60-120s
B1,Seated Cable Row,70,10,10,10,10,10,60-120s
C1,Facepull,42.5,10,10,10,10,10,60-120s
C2,Lat Pulldown,47.5,10,10,10,10,10,60-120s
D1,SA High Cable Curl,10,10,10,10,10,10,60-120s
Day 80- Cardio/Rest,,,,,,,,
Meso Cycle 3,,,,,,,,
Day 81- Leg Strength (4/25),,,,,,,,
A1,BB Squat ,205,5,5,5,5,5,3min
B1,Deadlift ,225,5,5,5,5,5,3min
C1,Leg Press ,4-45's/side,5,5,5,5,5,3min
Day 82- Push Strength (4/28),,,,,,,,
A1,BB Bench ,165,5,5,5,5,5,3min
B1,Incline DB Bench ,45,5,5,5,5,5,3min
C1,BB Overhead Press,70,5,5,5,5,5,3min
Day 83- Pull Strength (4/29),,,,,,,,
A1,Bent Over BB Row ,170,5,5,5,5,5,3min
B1,Pull Up,10,5,5,5,5,5,3min
C1,BB Curl,70,5,5,5,5,5,3min
Day 84- Cardio/Rest,,,,,,,,
Day 85- Leg Hypertrophy (5/9),,,,,,,,
A1,BB Back Squat,95,12,12,12,12,,0
A2,Leg Press,3-45's/side,12,12,12,12,,0
A3,Walking DB Lunges,15,12,12,12,12,,0
B1,SB Leg Curl,BW,12,12,12,12,,0
B2,Back Hyperextension,BW,12,12,12,12,,60-120s
Day 86- Push Hypertrophy (5/12),,,,,,,,
A1,DB Bench ,45,12,12,12,12,,0
A2,Push Ups,BW,AMAP,AMAP,AMAP,AMAP,,60-120s
B1,BB Inline Bench,55,12,12,12,12,,0
B2,Incline DB Fly,12.5,12,12,12,12,,60-120s
C1,Seated DB Shoulder Press,20,12,12,12,12,,0
C2,Front Shoulder Raise,10,12,12,12,12,,60-120s
C3,Lateral Shoulder Raise,10,12,12,12,12,,0
Day 87- Pull Hypertrophy (5/19),,,,,,,,
A1,Wide Grip Pull Ups,60,12,12,12,12,,0
A2,NG Low Cable Row,57.5,12,12,12,12,,60-120s
B1,Seated Cable Row,42.5,12,12,12,12,,0
B2,Wide Grip Lat Pulldown,35,12,12,12,12,,60-120s
C1,SA DB Row,35,12,12,12,12,,60-120s
Day 88- Cardio/Rest,,,,,,,,
Day 89- Leg Strength (5/20),,,,,,,,
A1,Back Squat,245,3,3,,,,3min
B1,Deadlift,325,3,3,,,,3min
C1,Leg Press,5-45's/sides,3,3,,,,3min
Day 90- Push Strength (5/23),,,,,,,,
A1,BB Bench ,185,3,3,,,,3min
B1,DB Incline Bench,75,3,3,,,,3min
C1,BB OHP,95,3,3,,,,3min
Day 91- Pull Strength (5/26),,,,,,,,
A1,Bent Over BB Row,,3,3,,,,3min
B1,Pull Ups,,3,3,,,,3min
C1,BB Curl,,5,5,,,,3min
